Agent Type,Terrain Type,Movements,Examinations,Actions
Agent 7,Flat,5137,1096,6233
Agent 8,Flat,4533,1242,5775
Agent 6,Flat,5170,1225,6395
Agent 7,Flat,7776,1579,9355
Agent 8,Flat,6330,1640,7970
Agent 6,Flat,60816,7008,67824
Agent 7,Flat,1924,415,2339
Agent 8,Flat,1632,481,2113
Agent 6,Flat,3062,619,3681
Agent 7,Flat,1723,406,2129
Agent 8,Flat,3454,1033,4487
Agent 6,Flat,3207,679,3886
Agent 7,Flat,2880,601,3481
Agent 8,Flat,44000,4998,48998
Agent 6,Flat,4873,1082,5955
Agent 7,Flat,8288,1685,9973
Agent 8,Flat,37662,4647,42309
Agent 6,Flat,4827,1035,5862
Agent 7,Flat,2338,571,2909
Agent 8,Flat,1992,605,2597
Agent 6,Flat,122696,12788,135484
Agent 7,Flat,3651,866,4517
Agent 8,Flat,4603,1324,5927
Agent 6,Flat,4320,1030,5350
Agent 7,Flat,2217,517,2734
Agent 8,Flat,12465,2550,15015
Agent 6,Flat,8053,1649,9702
Agent 7,Flat,4758,1119,5877
Agent 8,Flat,13263,2645,15908
Agent 6,Flat,2082,474,2556
Agent 7,Flat,6660,1431,8091
Agent 8,Flat,3382,974,4356
Agent 6,Flat,61499,7187,68686
Agent 7,Flat,7569,1611,9180
Agent 8,Flat,6378,1659,8037
Agent 6,Flat,7350,1582,8932
Agent 7,Flat,25580,3321,28901
Agent 8,Flat,2034,621,2655
Agent 6,Flat,1449,311,1760
Agent 7,Flat,5316,1125,6441
Agent 8,Flat,5857,1571,7428
Agent 6,Flat,6743,1467,8210
Agent 7,Flat,6032,1344,7376
Agent 8,Flat,11396,2466,13862
Agent 6,Flat,4202,894,5096
Agent 7,Flat,41971,4771,46742
Agent 8,Flat,2121,640,2761
Agent 6,Flat,2961,595,3556
Agent 7,Flat,26549,3246,29795
Agent 8,Flat,6191,1642,7833
Agent 6,Flat,6109,1370,7479
Agent 7,Flat,3129,697,3826
Agent 8,Flat,2620,779,3399
Agent 6,Flat,63138,6887,70025
Agent 7,Flat,6939,1478,8417
Agent 8,Flat,4109,1195,5304
Agent 6,Flat,5205,1140,6345
Agent 7,Flat,4506,1009,5515
Agent 8,Flat,11413,2483,13896
Agent 6,Flat,4917,1137,6054
Agent 7,Flat,4051,816,4867
Agent 8,Flat,2640,795,3435
Agent 6,Flat,7798,1666,9464
Agent 7,Flat,6220,1290,7510
Agent 8,Flat,2304,687,2991
Agent 6,Flat,2672,651,3323
Agent 7,Flat,8060,1663,9723
Agent 8,Flat,3028,902,3930
Agent 6,Flat,5962,1299,7261
Agent 7,Flat,13379,2467,15846
Agent 8,Flat,2806,862,3668
Agent 6,Flat,4366,948,5314
Agent 7,Flat,5829,1288,7117
Agent 8,Flat,12274,2548,14822
Agent 6,Flat,6422,1385,7807
Agent 7,Flat,6809,1452,8261
Agent 8,Flat,4354,1287,5641
Agent 6,Flat,1979,463,2442
Agent 7,Flat,43190,4627,47817
Agent 8,Flat,4822,1361,6183
Agent 6,Flat,7698,1633,9331
Agent 7,Flat,5034,1133,6167
Agent 8,Flat,2581,767,3348
Agent 6,Flat,1689,386,2075
Agent 7,Flat,7409,1571,8980
Agent 8,Flat,4092,1236,5328
Agent 6,Flat,61024,7095,68119
Agent 7,Flat,5179,1068,6247
Agent 8,Flat,17041,3076,20117
Agent 6,Flat,8005,1687,9692
Agent 7,Flat,6704,1411,8115
Agent 8,Flat,5224,1434,6658
Agent 6,Flat,3482,804,4286
Agent 7,Flat,1729,389,2118
Agent 8,Flat,6732,1682,8414
Agent 6,Flat,4993,1073,6066
Agent 7,Flat,5037,1125,6162
Agent 8,Flat,3483,1029,4512
Agent 6,Flat,5057,1011,6068
Agent 7,Flat,7109,1487,8596
Agent 8,Flat,4196,1138,5334
